"question","answers"
"Cuộc thi thể thao thường niên nào có Wanamaker Mile?","Millrose Games"
"Bao nhiêu băng hà ở Áo biến mất?","Bốn mươi phần trăm"
"Những quốc gia nào sẽ có thể bay đến Saint Helena bằng sân bay?","Nam Phi và Vương quốc Anh"
"Bitum đã làm gì khi được sử dụng như một loại sơn không làm đúng?","hoá rắn"
"Xbox Live hub cung cấp những tính năng gì?","cho phép người dùng xem hồ sơ và gamerscore của họ"
"Bao nhiêu phần trăm MCA / Universal đã bán được Matsushita Electric năm năm sau khi mua lại công ty?","80%"
"Điều gì đang được dẫn đến vai trò đặc biệt?","Súng"
"Ai đã chia I2a2 thành hai nhánh?","Ken Nordtvedt"
"Edward j Gurney là ai","968 Edward J. Gurney, cũng là một người bảo thủ da trắng, đã được bầu làm Thượng nghị sĩ Cộng hoà Hoa Kỳ sau tái thiết đầu tiên của tiểu bang"
"Đại lộ Stickball nằm ở quận nào?","the Bronx"
"Các chú thích có trong bản quyền của tác phẩm gốc không?","Tất cả các ghi chú kế toán cho phân tích và lý do và cách thức thực hiện các thay đổi đó đã thể hiện một tác phẩm khác có bản quyền tự động"
"Trẻ em ở nông thôn đã làm việc ở đâu?","trang trại"
"Khi nào Namibia ngừng là thuộc địa của Đức?","kết thúc Thế chiến I"
"Dân số CAR xấp xỉ là bao nhiêu?","4,7 triệu"
"Mệnh giá lớn nhất của toàn bộ đảo Ireland là gì?","Giáo hội Anh giáo Ireland"
"Hai trò chơi Bắc Mỹ đầu tiên được phát hành là gì?","Digimon World, Digimon World 2"
"Tên của cuộc chiến năm 1768 có liên quan đến cuộc nổi dậy của Liên đoàn luật sư chống lại Nga là gì?","Chiến tranh Ba Lan lần thứ nhất"
"Ai đã làm việc để điều chỉnh điểm số cho màn trình diễn của một dàn nhạc?","Michiru shima"
"Ai đã lãnh đạo các tập tục Hy Lạp hoá bằng cách thành lập các thành phố và thuộc địa mới của Hy Lạp?","Alexander"
"Ai đã làm Napoleon kết hôn vào năm 1796?","Joséphine de Beauharnais"
"Học bổng Oppidan được trao trong những trường hợp nào?","liên tục thực hiện với sự khác biệt trong các kỳ thi ở trường và bên ngoài"
"Người dân Hy Lạp có trình độ học vấn cao hơn đã nhìn thấy phương ngữ nào bên dưới họ?","Demotic"
"""Người phụ nữ đẹp nhất thế giới"" được tạp chí quốc gia nào tuyên bố với Beyonce?","People"
"Khi nào Viện Y học bắt đầu cung cấp giáo dục trong y học?","1978"
"Văn hoá Ấn-Aryan nằm ở đâu?","tây bắc Ấn Độ"
"Khi nào CBC ngừng phát sóng đêm muộn của The National?","tháng 10 năm 2006"
"Thu nhập cá nhân bình quân đầu người ở Alaska năm 2007 là bao nhiêu?","$ 40,042"
"Vị trí của Mike Darnells tại Fox năm 2009 là gì?","chủ tịch lập trình thay thế"
"động vật nào đã bị đe doạ với sự cố tràn dầu nhiên liệu?","rockhopper"
"Tuổi thọ điển hình của đèn P1 là gì?","chỉ trong hai giờ"
"Vệ tinh đầu tiên của Mỹ phóng mà không thất bại là vào ngày nào?","31 tháng 1 năm 1958"
"Thủ tướng Ý vào tháng 7 năm 1978 là ai?","Sandro Pertini"
"Vị trí chính thức nào mà Vatican đảm nhận về chủ đề tiến hoá năm 1950?","Vatican tuyên bố vị trí chính thức của mình trong một bách khoa toàn thư năm 1950, cho rằng sự tiến hoá không phù hợp với giáo huấn Công giáo."
"Các tần số cho haplotype cho hemogoblin beta-5 làm gì từ các điểm cụ thể ở Châu Phi?","toả ra"
"Diện tích của nước là gì?","6,290 dặm vuông"
"Ý kiến ​​của Whitehead về các giả định cơ bản trong siêu hình học là gì?","những giả định đó không dễ dàng được nhìn thấy chính xác bởi vì chúng vẫn chưa được giải thích và không bị nghi ngờ"
"Khi nào độc quyền rượu bị bãi bỏ?","81 trư"
"Điều gì có khả năng được coi là lạm dụng bảo mật của giáo viên-học sinh?","Forsyth quyết định ghi lại cuộc trò chuyện với Harry"
"Có bao nhiêu ngôi nhà được xây dựng lại?","200"
"Những dịch vụ này thường được dành riêng cho loại hành khách nào?","hạng nhất và hạng thương gia"
"Ai mô tả nô lệ là người da đen?","John Rolfe"
"Nhà tài trợ hiện tại là ai?","Hãng hàng không Emirates là nhà tài trợ từ 2015 đến 2018"
"Trường điện từ tuân theo luật nào?","định luật chuyển động"
"Dell đã bắt đầu bán những thứ khác ngoài PC?","những năm 1990"
"Ai có số lượng lớn hơn các bậc thầy nô lệ La Mã?","nô lệ"
"Cộng đồng nào bao gồm khu vực từ Downtown San Diego đến bán đảo?","Point Loma"
"Ai thành lập Flying Fathers?","Les Costello"
"Short Pump nằm ở đâu trong mối quan hệ với Richmond?","tây"
"Catalonia nằm ở đâu?","Bán đảo Iberia"
"Cầu thủ bóng bầu dục Samoa nào đã ký hợp đồng với câu lạc bộ bóng bầu dục London Ailen?","Setima Sa"
"Microsoft đã thay đổi yêu cầu độ phân giải máy tính bảng vào ngày 12 tháng 3 năm 2013 là gì?","1024 × 768"
"Ai đã giành danh hiệu phụ nữ vào năm 1937?","Mildred Burke"
"Con tàu quân sự lớn nhất của Nhật Bản nặng bao nhiêu?","19.500 tấn"
"Manx shearwater sống được bao lâu?","50 năm"
"Khi nào thuần hoá cừu xuất hiện lần đầu tiên ở Ai Cập?","6.000 trước Công nguyên"
"Ngôn ngữ nào mà Hội đồng chung muốn quảng bá?","Catalan"
"Một lớp học thích hợp là gì?","một lớp không thuộc về các lớp khác"
"Phụ nữ với mũ đỏ chen chúc quanh máy chém trong thời kỳ Khủng bố để làm gì?","ăn mừng"
"Khi nào Đạo luật chung về Paymaster được thông qua?","1782"
"Lá cờ nào trên đỉnh đội?","Catalan"
"Ai là Antiochus VII Sidetes bị giết bởi quân đội nào?","Parthian"
"Một trong những thay đổi của họ là gì?","Một người chơi ngoài EU xin cấp giấy phép phải chơi cho quốc gia của anh ta ít nhất 75 phần trăm trong số các trận đấu của đội 'A' cạnh tranh"
"phạm vi của Radio Saint Helena trong dặm là gì?","62"
"Điều gì thường xảy ra khi hai hoặc nhiều đô vật tham gia?","chỉ đơn giản là đi một cú ngã, với một người ghi điểm vào mùa thu, bất kể họ ghi bàn với ai, là người chiến thắng."
"Chopin đã thêm gì vào điệu nhảy hiện đại trong thời đại của mình?","phạm vi giai điệu và biểu cảm lớn hơn."
"Ai thành lập Liên hoan Spoleto Hoa Kỳ?","Gian Carlo Menotti"
"Cha là ai?","Ernest I, Công tước Saxe-Coburg và Gotha"
"Thành phố nào của Ấn Độ là trụ sở của Đường sắt phía Bắc?","New Delhi"
"Eisenhower được thăng hạng nào vào ngày 7 tháng 7 năm 1942?","trung tướng"
"Ai đã bắt giữ quân đội?","Ialá"
"Ai là chủ tịch của công đoàn thợ mỏ?","Arthur Scargill"
"Khoảng bao nhiêu người đọc The Miami Herald?","triệu"
"Các hồng y cao cấp nhất trong Giáo hội Công giáo là ai?","giám mục hồng y"
"Ai mô tả tuổi thiếu niên là giai đoạn của cuộc sống trong đó suy nghĩ của cá nhân bắt đầu mang hình thức trừu tượng hơn?","Piaget"
"Sự ổn định giá được định nghĩa là gì?","lạm phát dưới 2%"
"Ai chơi Indiana Jones?","Harrison Ford"
"Những phiên bản nào của Encyclopedie ít tốn kém hơn và dễ tiếp cận hơn với những người không thuộc giới thượng lưu?","quarto và octavo"
"Cha của Von Neumann được nâng lên thành quý tộc vào năm nào?","1913"
"Ai điều hành các quốc gia Hy Lạp ở Châu Á và Ai Cập?","Greco-Macedonia và các thống đốc"
"Tháng nào người Nhật tiến hành một cuộc tấn công vào Ấn Độ?","tháng 3"
"Mozart đã lưu ý điều gì?","khả năng ứng biến giai điệu theo các phong cách khác nhau"
"Nhà thờ Baptist đầu tiên được thành lập ở đâu?","Amsterdam"
"Hệ thống liên quan đến số lượng loài là gì?","Kích thước môi trường sống"
"Công ty điện mặt trời được thành lập vào năm nào?","1908"
"Tito được gửi đến Vienna khi nào?","1934"
"Cao nguyên Beartooth cao bao nhiêu?","cao hơn 10.000 feet"
"Những gì có thể được sử dụng để cung cấp chất lỏng khi họ không thể uống?","Một ống thông mũi"
"Phương ngữ từ hồ Peipsi là gì?","phương ngữ keskmurre hoặc phương ng"
"Nhóm các giáo sư và bộ trưởng của Yale đang cố gắng đạt được điều gì?","phát triển cả một người đàn ông sở hữu các giá trị tôn giáo đủ mạnh để chống lại những cám dỗ"
"Hầu hết các cuộc tranh luận của những người Hồi giáo chống masonic tập trung vào là gì?","antisemitism và Anti-Zionism"
"""Phương Đông"" dùng để chỉ cái gì?","Phần còn lại của miền Ottoman"
"Những nhà ngôn ngữ học nào không thích đặt tiếng Catalan vào hạng mục Occitano-Romance?","tiếng Tây Ban Nha"
"Vi khuẩn khử sulfate là gì?","sản xuất các dạng thuỷ ngân cực độc"
"Đối với một số trường hợp nhất định về ánh sáng hoặc nguyên tử, lượng tử của hành động mang lại là gì?","chỉ cho phép mức năng lượng nhất định và các giá trị ở giữa bị cấm."
"Bao nhiêu phần trăm cư dân của Bermuda là công dân Hoa Kỳ?","5%"
"Loại video nào youtube đã chính thức bắt đầu hỗ trợ vào tháng 7 năm 2009?","3D"
"Công ước Berne diễn ra khi nào?","1886"
"Cuộc chiến nào đã chứng kiến ​​căng thẳng nảy sinh giữa Hoàng gia Nhật Bản và Hoa Kỳ?","Chiến tranh Trung-Nhật lần thứ hai"
"LED đứng để làm gì?","Điốt phát sáng"
"Khu vực trước đây được đặt tên là gì?","Thorn Ey (Đảo Thorn)"
"Những gì lý thuyết dòng dõi chung phân nhánh đã trở thành một trong những khoa học cuộc sống thống nhất nhất?","Thuyết tiến hoá của Darwin"
"Khi nào tuổi Antebellum được coi là bắt đầu?","với Đạo luật Kansas Kansas Nebraska năm 1854"
"Lễ hội năm mới của người Tây Tạng được gọi là gì?","Losar"
"Có bao nhiêu người Ireland đã thua thiệt vì khoai tây?","một triệu"
"Tỷ lệ nhỏ nhất của dân số Miến Điện là gì?","Người Hoa ở nước ngoài chiếm khoảng 3% dân số"
"Khi nào các ổ đĩa cho tiểu bang ấp úng?","1985"
"Những gì các nhà nghiên cứu thường tin rằng gây ra xu hướng tình dục?","sự kết hợp của các ảnh hưởng di truyền, nội tiết tố và môi trường"
"Ribosome chịu trách nhiệm cho cái gì?","thực hiện các phản ứng hoá học để thêm amino mới axit vào chuỗi polypeptide đang phát triển"
"Nghề nghiệp của Stefan Schmid là gì?","nhà địa chất học"
"3 hiệp hội y tế hỗ trợ các hoá đơn?","Hiệp hội Y tá Toàn diện Hoa Kỳ, Hiệp hội Y khoa Hoa Kỳ và Hiệp hội Sức khoẻ Cộng đồng Hoa Kỳ (APHA)"
"Giáo hoàng có ảnh hưởng ở khu vực nào của Tây Âu?","Anh"
"Ngoài ngôn ngữ của Kannada, còn ngôn ngữ cũ nào khác được sử dụng trong triều đại Chalukya phía tây?","tiếng Phạn"
"Cùng với tranh cãi chính trị, sự khác biệt giữa ngôn ngữ và phương ngữ đôi khi có thể dẫn đến điều gì?","xung đột vũ trang"
"Điều gì có thể khiến một số tên nhất định trong katakana thay vì kanji?","Báo Nhật Bản"
"Tên của cuộc họp để tạo liên minh giữa Zwingli và Luther là gì?","the Colloquy of Marburg"
"Quốc gia nào được cho là cung cấp đối trọng cho sự tham gia của Trung Quốc và Liên Xô tại Hàn Quốc?","Nhật Bản"
"Hy Lạp được xếp hạng là thành viên nào của ESA?","thứ sáu"
"Ai ở trong ngành hành pháp?","Thống đốc, nhân viên của họ và các quan chức được bầu khác"
"Một đại diện của Mary tại Crucifixion được gọi là gì?","a Stabat Mater"
"Các vị thần Sumer đã hình thành những gì?","một pantheon cốt lõi"
"Nhà sư của tiểu thuyết tin vào điều gì có thể làm giảm bớt căng thẳng trong vấn đề","Đề xuất một giải pháp cho vấn đề thần học về việc hoà giải giáo lý với sự cứu chuộc phổ quát trong Chúa Kitô"
"Chủ nghĩa thần bí Dominican cũng lan sang đất nước châu Âu nào?","Hà Lan"
